Date,Map,SB Corp.,AV. Corp.,SB Score,AV Score,Total,Diff,Abs. Diff,Winner,Game #,SB_Win,SB Net Wins,SB Win Ratio,SB Total,AV Total,SB Net Score,Average Win Margin,Median Win Margin,Note,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2025-03-23,Hellas,Credicor,Manutech,100,108,208,-8,8,AV,1,0,-1,0.0,100,108,-8,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-03-23,Tharsis,Recyclon,Saturn,115,130,245,-15,15,AV,2,0,-2,0.0,215,238,-23,11.5,11.5,,,,Corp,SB n,SB win %,AV n,AV win %,n,Corp Win%,Wins,,Map ,Count,SB Win,SB%,AV Win,AV%
2025-03-25,Elysium,Viron,Helion,78,82,160,-4,4,AV,3,0,-3,0.0,293,320,-27,9.0,8.0,,,,Aphrodite,12,0.75,8,0.25,20,0.55,11,,Tharsis,73,41,0.5616438356164384,32,0.4383561643835616
2025-03-25,Tharsis,Mining Guild,Saturn,106,128,234,-22,22,AV,4,0,-4,0.0,399,448,-49,12.25,11.5,,,,Arcadian,8,0.75,15,0.26666666666666666,23,0.43478260869565216,10,,Elysium,68,51,0.75,17,0.25
2025-03-28,Hellas,Aphrodite,Saturn,103,135,238,-32,32,AV,5,0,-5,0.0,502,583,-81,16.2,15.0,,,,Astrodrill,9,0.8888888888888888,5,0.6,14,0.7857142857142857,11,,Hellas,70,48,0.6857142857142857,22,0.3142857142857143
2025-03-28,Tharsis,Tharsis,Recyclon,82,104,186,-22,22,AV,6,0,-6,0.0,584,687,-103,17.166666666666668,18.5,,,,Celestic,14,0.6428571428571429,2,0.5,16,0.625,10,,Total,211,140,0.6635071090047393,71,0.33649289099526064
2025-03-29,Elysium,Viron,Inventrix,130,98,228,32,32,SB,7,1,-5,0.14285714285714285,714,785,-71,19.285714285714285,22.0,,,,Cheung,13,0.6923076923076923,12,0.16666666666666666,25,0.44,11,,,,,,,
2025-03-29,Tharsis,Recyclon,Robinson,102,97,199,5,5,SB,8,1,-4,0.25,816,882,-66,17.5,18.5,,,,Cinematics,1,1,3,0.6666666666666666,4,0.75,3,,,,,,,
2025-03-30,Elysium,Saturn,Tharsis,101,109,210,-8,8,AV,9,0,-5,0.2222222222222222,917,991,-74,16.444444444444443,15.0,,,,Credicor,15,0.5333333333333333,11,0.45454545454545453,26,0.5,13,,,,SB,AV,Combined,Diff
2025-03-30,Tharsis,Astrodrill,Arcadian,98,94,192,4,4,SB,10,1,-4,0.3,1015,1085,-70,15.2,11.5,,,,Ecoline,3,0.3333333333333333,18,0.4444444444444444,21,0.42857142857142855,9,,,Max Score,208,176,347,91
2025-03-31,Hellas,Tharsis,Thorgate,125,98,223,27,27,SB,11,1,-3,0.36363636363636365,1140,1183,-43,16.272727272727273,15.0,,,,Helion,3,0.3333333333333333,14,0.35714285714285715,17,0.35294117647058826,6,,,Min. Score,68,61,152,0
2025-04-01,Hellas,Arcadian,Inventrix,98,83,181,15,15,SB,12,1,-2,0.4166666666666667,1238,1266,-28,16.166666666666668,15.0,,,,Inventrix,6,0.5,2,0,8,0.375,3,,,Avg. Score,117.27014218009478,106.77725118483413,224.04739336492892,18.938388625592417
2025-04-01,Tharsis,Morning Star,Helion,72,90,162,-18,18,AV,13,0,-3,0.38461538461538464,1310,1356,-46,16.307692307692307,15.0,,,,Manutech,12,0.9166666666666666,14,0.21428571428571427,26,0.5384615384615384,14,,,Median Score,115,105,221,15
2025-04-02,Elysium,Tharsis,Phobolog,117,80,197,37,37,SB,14,1,-2,0.42857142857142855,1427,1436,-9,17.785714285714285,16.5,,,,Mining Guild,2,0,7,0,9,0,0,,,,,,,
2025-04-02,Tharsis,Morning Star,Arcadian,109,112,221,-3,3,AV,15,0,-3,0.4,1536,1548,-12,16.8,15.0,,,,Morning Star,16,0.6875,5,0.4,21,0.6190476190476191,13,,,,SB,AV,,
2025-04-05,Hellas,Tharsis,Cheung,102,103,205,-1,1,AV,16,0,-4,0.375,1638,1651,-13,15.8125,15.0,,,,Pharmacy Union,5,0.4,0,,5,0.4,2,,,Win Margin Avg.,22.178571428571427,12.549295774647888,,
2025-04-05,Tharsis,Credicor,Manutech,74,121,195,-47,47,AV,17,0,-5,0.35294117647058826,1712,1772,-60,17.647058823529413,15.0,,,,Phobolog,3,0.3333333333333333,5,0,8,0.125,1,,,Avg Win Score,123.12142857142857,118.28169014084507,,
2025-04-06,Elysium,Recyclon,Credicor,136,111,247,25,25,SB,18,1,-4,0.3888888888888889,1848,1883,-35,18.055555555555557,16.5,,,,Point Luna,3,0,11,0.18181818181818182,14,0.14285714285714285,2,,,Avg Lose Score,105.73239436619718,100.94285714285714,,
2025-04-06,Tharsis,Tharsis,Cheung,121,104,225,17,17,SB,19,1,-3,0.42105263157894735,1969,1987,-18,18.0,17.0,,,,Recyclon,10,0.5,7,0.5714285714285714,17,0.5294117647058824,9,,,,,,,
2025-04-10,Hellas,Phobolog,Tharsis,109,120,229,-11,11,AV,20,0,-4,0.4,2078,2107,-29,17.65,16.0,,,,Robinson,5,0.4,8,0.125,13,0.23076923076923078,3,,,,,,,
2025-04-12,Elysium,Tharsis,Morning Star,92,102,194,-10,10,AV,21,0,-5,0.38095238095238093,2170,2209,-39,17.285714285714285,15.0,,,,Saturn,10,0.6,16,0.5,26,0.5384615384615384,14,,,Games/Day,1.3612903225806452,,,
2025-04-12,Tharsis,Tharsis,Cheung,114,112,226,2,2,SB,22,1,-4,0.4090909090909091,2284,2321,-37,16.59090909090909,15.0,,,,Splice,0,,1,0,1,0,0,,,,,,,
2025-04-14,Tharsis,Saturn,Tharsis,80,96,176,-16,16,AV,23,0,-5,0.391304347826087,2364,2417,-53,16.565217391304348,15.0,,,,Terractor,6,0.8333333333333334,6,0.16666666666666666,12,0.5,6,,,,,,,
2025-04-15,Elysium,Robinson,Ecoline,87,105,192,-18,18,AV,24,0,-6,0.375,2451,2522,-71,16.625,15.5,,,,Tharsis,13,0.6153846153846154,18,0.6111111111111112,31,0.6129032258064516,19,,,,,,,
2025-04-15,Tharsis,Recyclon,Tharsis,90,114,204,-24,24,AV,25,0,-7,0.36,2541,2636,-95,16.92,16.0,,,,Thorgate,2,0.5,5,0.2,7,0.2857142857142857,2,,,,,,,
2025-04-17,Elysium,Valley,Credicor,95,94,189,1,1,SB,26,1,-6,0.38461538461538464,2636,2730,-94,16.307692307692307,15.5,,,,United,2,1,7,0.2857142857142857,9,0.4444444444444444,4,,,,,,,
2025-04-17,Tharsis,Credicor,Cinematics,86,91,177,-5,5,AV,27,0,-7,0.37037037037037035,2722,2821,-99,15.88888888888889,15.0,SB lost due to a bug,,,Valley,12,0.9166666666666666,5,0.6,17,0.8235294117647058,14,,,,,,,
2025-04-18,Hellas,Credicor,Saturn,127,148,275,-21,21,AV,28,0,-8,0.35714285714285715,2849,2969,-120,16.071428571428573,15.5,,,,Viron,12,0.75,6,0.16666666666666666,18,0.5555555555555556,10,,,,,,,
2025-04-18,Tharsis,Credicor,Tharsis,78,89,167,-11,11,AV,29,0,-9,0.3448275862068966,2927,3058,-131,15.89655172413793,15.0,,,,Vitor,14,0.7857142857142857,0,,14,0.7857142857142857,11,,,,,,,
2025-04-19,Hellas,Viron,Saturn,102,91,193,11,11,SB,30,1,-8,0.36666666666666664,3029,3149,-120,15.733333333333333,15.0,,,,,,,,,,,,,,,,,,
2025-04-19,Tharsis,Thorgate,Arcadian,74,80,154,-6,6,AV,31,0,-9,0.3548387096774194,3103,3229,-126,15.419354838709678,15.0,,,,,,,,,,,,,,,,,,
2025-04-20,Hellas,Arcadian,Tharsis,79,74,153,5,5,SB,32,1,-8,0.375,3182,3303,-121,15.09375,13.0,,,,sumcheck,211,,211,,,,211,,,,,,,
2025-04-20,Elysium,Manutech,Cheung,134,87,221,47,47,SB,33,1,-7,0.3939393939393939,3316,3390,-74,16.060606060606062,15.0,,,,,,,,,,,,,,,,,,
2025-04-20,Tharsis,Saturn,Terractor,118,100,218,18,18,SB,34,1,-6,0.4117647058823529,3434,3490,-56,16.11764705882353,15.0,,,,,,,,,,,,,,,,,,
2025-04-21,Elysium,Morning Star,Helion,90,84,174,6,6,SB,35,1,-5,0.42857142857142855,3524,3574,-50,15.82857142857143,15.0,,,,,,,,,,,,,,,,,,
2025-04-21,Tharsis,Tharsis,Credicor,132,136,268,-4,4,AV,36,0,-6,0.4166666666666667,3656,3710,-54,15.5,13.0,,,,,,,,,,,,,,,,,,
2025-04-24,Hellas,Cheung,Recyclon,106,111,217,-5,5,AV,37,0,-7,0.40540540540540543,3762,3821,-59,15.216216216216216,11.0,,,,,,,,,,,,,,,,,,
2025-04-24,Tharsis,Aphrodite,Point Luna,116,91,207,25,25,SB,38,1,-6,0.42105263157894735,3878,3912,-34,15.473684210526315,13.0,,,,,,,,,,,,,,,,,,
2025-04-25,Tharsis,Arcadian,Ecoline,93,95,188,-2,2,AV,39,0,-7,0.41025641025641024,3971,4007,-36,15.128205128205128,11.0,,,,,,,,,,,,,,,,,,
2025-04-29,Elysium,Celestic,Terractor,96,72,168,24,24,SB,40,1,-6,0.425,4067,4079,-12,15.35,13.0,,,,,,,,,,,,,,,,,,
2025-04-29,Tharsis,Vitor,Astrodrill,113,93,206,20,20,SB,41,1,-5,0.43902439024390244,4180,4172,8,15.463414634146341,15.0,,,,,,,,,,,,,,,,,,
2025-04-30,Hellas,Ecoline,Valley,123,145,268,-22,22,AV,42,0,-6,0.42857142857142855,4303,4317,-14,15.619047619047619,15.0,,,,,,,,,,,,,,,,,,
2025-04-30,Tharsis,Terractor,Saturn,78,74,152,4,4,SB,43,1,-5,0.4418604651162791,4381,4391,-10,15.348837209302326,15.0,,,,,,,,,,,,,,,,,,
2025-05-01,Elysium,Vitor,Mining Guild,131,92,223,39,39,SB,44,1,-4,0.45454545454545453,4512,4483,29,15.886363636363637,15.0,,,,,,,,,,,,,,,,,,
2025-05-02,Tharsis,Cheung,Terractor,94,82,176,12,12,SB,45,1,-3,0.4666666666666667,4606,4565,41,15.8,15.0,,,,,,,,,,,,,,,,,,
2025-05-02,Hellas,Celestic,Phobolog,124,119,243,5,5,SB,46,1,-2,0.4782608695652174,4730,4684,46,15.565217391304348,13.5,,,,,,,,,,,,,,,,,,
2025-05-03,Hellas,Cheung,Terractor,140,119,259,21,21,SB,47,1,-1,0.48936170212765956,4870,4803,67,15.680851063829786,15.0,,,,,,,,,,,,,,,,,,
2025-05-03,Tharsis,Cheung,Point Luna,118,88,206,30,30,SB,48,1,0,0.5,4988,4891,97,15.979166666666666,15.0,,,,,,,,,,,,,,,,,,
2025-05-04,Elysium,Saturn,Helion,98,99,197,-1,1,AV,49,0,-1,0.4897959183673469,5086,4990,96,15.673469387755102,15.0,,,,,,,,,,,,,,,,,,
2025-05-04,Tharsis,Inventrix,Terractor,81,101,182,-20,20,AV,50,0,-2,0.48,5167,5091,76,15.76,15.0,,,,,,,,,,,,,,,,,,
2025-05-05,Elysium,Astrodrill,Mining Guild,102,61,163,41,41,SB,51,1,-1,0.49019607843137253,5269,5152,117,16.254901960784313,15.0,,,,,,,,,,,,,,,,,,
